@relation 'dataset_pangoa_nosupervisado'

@attribute tipo_contribuyente {'Persona juridica','Persona natural'}
@attribute monto_impuesto numeric
@attribute monto_pagado numeric
@attribute deuda_acumulada numeric
@attribute anios_moroso numeric
@attribute frecuencia_pago {'Con retraso','Nunca paga'}
@attribute meses_retraso_promedio numeric
@attribute num_notificaciones numeric
@attribute respondio_notificacion {Si,No}
@attribute fraccionamiento {No,Si}

@data
'Persona natural',332.62,0,94.48,1,'Nunca paga',1.3,1,No,No
'Persona natural',331.88,92.97,0,0,'Con retraso',0,1,Si,No
'Persona natural',331.66,0,94.24,1,'Nunca paga',1.3,1,No,No
'Persona natural',331.11,0,94.1,1,'Nunca paga',1.3,1,No,No
'Persona natural',330.33,0,93.9,1,'Nunca paga',1.3,1,No,No
'Persona natural',330.02,92.51,0,0,'Con retraso',0,1,Si,No
'Persona natural',330.01,92.51,0,0,'Con retraso',0,1,Si,No
'Persona natural',329.87,0,93.78,1,'Nunca paga',1.3,1,No,No
'Persona natural',329.85,0,93.78,1,'Nunca paga',0,0,No,No
'Persona natural',327.13,0,0,0,'Nunca paga',1.3,0,No,No
'Persona natural',326.31,0,92.88,1,'Nunca paga',1.3,1,No,No
'Persona natural',325.99,91.5,0,0,'Con retraso',0,1,Si,No
'Persona natural',325.56,0,92.68,1,'Nunca paga',1.3,1,No,No
'Persona natural',325.17,91.3,0,0,'Con retraso',0,1,Si,No
'Persona natural',324.69,0,92.47,1,'Nunca paga',1.3,1,No,No
'Persona natural',323.61,0,0,0,'Nunca paga',1.3,0,No,No
'Persona natural',323.13,90.79,0,0,'Con retraso',0,1,Si,No
'Persona natural',322.72,0,91.96,1,'Nunca paga',1.3,1,No,No
'Persona natural',322.69,0,91.96,1,'Nunca paga',1.3,1,No,No
'Persona natural',321.61,0,91.69,1,'Nunca paga',1.3,1,No,No
'Persona natural',321.59,0,91.68,1,'Nunca paga',1.3,1,No,No
'Persona natural',321.06,0,91.55,1,'Nunca paga',1.3,1,No,No
'Persona natural',321.04,0,91.54,1,'Nunca paga',1.3,1,No,No
'Persona natural',320.37,0,91.37,1,'Nunca paga',1.3,1,No,No
'Persona natural',319.81,0,91.23,1,'Nunca paga',1.3,1,No,No
'Persona natural',319.14,0,91.06,1,'Nunca paga',1.3,1,No,No
'Persona natural',318.93,0,91.01,1,'Nunca paga',1.3,1,No,No
'Persona natural',318.78,0,90.97,1,'Nunca paga',0,1,No,No
'Persona natural',317.94,0,90.75,1,'Nunca paga',1.3,1,No,No
'Persona natural',317.61,0,90.67,1,'Nunca paga',1.3,1,No,No
'Persona natural',315.94,0,90.25,1,'Nunca paga',1.3,1,No,No
'Persona natural',315.7,0,90.18,1,'Nunca paga',0,1,No,No
'Persona natural',315.25,0,90.07,1,'Nunca paga',1.2,1,No,No
'Persona natural',314.15,0,89.79,1,'Nunca paga',1.2,1,No,No
'Persona natural',313.81,0,89.71,1,'Nunca paga',1.2,1,No,No
'Persona natural',313.39,0,89.6,1,'Nunca paga',0,1,No,No
'Persona natural',311.34,0,89.08,1,'Nunca paga',0,1,No,No
'Persona natural',308.95,0,88.47,1,'Nunca paga',1.2,1,No,No
'Persona natural',306.68,0,87.89,1,'Nunca paga',0,1,No,No
'Persona natural',306.01,0,87.73,1,'Nunca paga',0,0,No,No
'Persona natural',305.69,0,87.65,1,'Nunca paga',1.2,1,No,No
'Persona natural',305.24,0,87.52,1,'Nunca paga',1.2,1,No,No
'Persona natural',303.81,0,87.17,1,'Nunca paga',1.2,1,No,No
'Persona natural',301.73,85.44,0,0,'Con retraso',0,1,Si,No
'Persona natural',298.9,0,85.92,1,'Nunca paga',0,0,No,No
'Persona natural',298.77,0,85.89,1,'Nunca paga',1.2,1,No,No
'Persona natural',298.31,0,85.77,1,'Nunca paga',1.2,1,No,No
'Persona natural',297.11,84.28,0,0,'Con retraso',0,1,Si,No
'Persona natural',294.29,0,84.75,1,'Nunca paga',1.2,1,No,No
'Persona natural',293.59,0,84.57,1,'Nunca paga',1.2,1,No,No
'Persona natural',293.44,0,84.53,1,'Nunca paga',1.2,1,No,No
'Persona natural',292.73,0,84.35,1,'Nunca paga',1.2,1,No,No
'Persona natural',291.25,0,83.98,1,'Nunca paga',0,1,No,No
'Persona natural',290.48,0,83.77,1,'Nunca paga',1.2,1,No,No
'Persona natural',289.55,0,83.54,1,'Nunca paga',1.2,1,No,No
'Persona natural',287.8,0,83.09,1,'Nunca paga',1.1,1,No,No
'Persona natural',287.67,0,83.06,1,'Nunca paga',1.1,1,No,No
'Persona natural',286.51,0,82.77,1,'Nunca paga',0,0,No,No
'Persona natural',286.47,0,82.76,1,'Nunca paga',0,1,No,No
'Persona natural',285.31,0,82.46,1,'Nunca paga',1.1,1,No,No
'Persona natural',285.18,81.3,0,0,'Con retraso',0,1,Si,No
'Persona natural',284.68,0,82.3,1,'Nunca paga',1.1,1,No,No
'Persona natural',283.27,0,81.95,1,'Nunca paga',1.1,1,No,No
'Persona natural',283.23,0,81.94,1,'Nunca paga',0,1,No,No
'Persona natural',283.12,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',282.39,0,81.72,1,'Nunca paga',1.1,1,No,No
'Persona natural',282.32,0,81.7,1,'Nunca paga',0,1,No,No
'Persona natural',281.45,0,81.49,1,'Nunca paga',1.1,1,No,No
'Persona natural',281.45,0,81.49,1,'Nunca paga',0,1,No,No
'Persona natural',280.39,0,81.21,1,'Nunca paga',1.1,1,No,No
'Persona natural',279.81,0,81.07,1,'Nunca paga',1.1,1,No,No
'Persona natural',279.62,0,81.02,1,'Nunca paga',1.1,1,No,No
'Persona natural',278.53,0,80.75,1,'Nunca paga',0,1,No,No
'Persona natural',277.13,0,80.39,1,'Nunca paga',0,1,No,No
'Persona natural',276.76,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',276.13,0,80.14,1,'Nunca paga',1.1,1,No,No
'Persona natural',275.11,0,79.87,1,'Nunca paga',1.1,1,No,No
'Persona natural',274.67,0,79.76,1,'Nunca paga',0,1,No,No
'Persona natural',274.49,0,79.72,1,'Nunca paga',1.1,1,No,No
'Persona natural',274.41,0,79.7,1,'Nunca paga',1.1,1,No,No
'Persona natural',273.99,0,79.59,1,'Nunca paga',1.1,1,No,No
'Persona natural',273.91,0,79.57,1,'Nunca paga',1.1,1,No,No
'Persona natural',273.71,0,79.52,1,'Nunca paga',1.1,1,No,No
'Persona natural',273.66,0,79.51,1,'Nunca paga',1.1,1,No,No
'Persona natural',273.39,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',271.47,0,78.95,1,'Nunca paga',1.1,1,No,No
'Persona natural',270.9,0,78.81,1,'Nunca paga',1.1,1,No,No
'Persona natural',270.61,0,78.74,1,'Nunca paga',1.1,1,No,No
'Persona natural',270.37,0,78.67,1,'Nunca paga',0,1,No,No
'Persona natural',270.35,77.59,0,0,'Con retraso',0,1,Si,No
'Persona natural',267.27,76.82,0,0,'Con retraso',0,1,Si,No
'Persona juridica',266.83,0,77.77,1,'Nunca paga',0,0,No,No
'Persona natural',266.25,0,77.63,1,'Nunca paga',1.1,1,No,No
'Persona natural',266.11,0,0,0,'Nunca paga',1.1,0,No,No
'Persona natural',265.91,0,77.54,1,'Nunca paga',0,1,No,No
'Persona natural',265.08,0,77.32,1,'Nunca paga',1,1,No,No
'Persona natural',263.65,0,76.97,1,'Nunca paga',1,1,No,No
'Persona natural',263.17,0,76.85,1,'Nunca paga',1,1,No,No
'Persona natural',261.64,0,76.45,1,'Nunca paga',1,1,No,No
'Persona natural',260.89,0,76.27,1,'Nunca paga',1,1,No,No
'Persona natural',260.56,0,76.18,1,'Nunca paga',1,1,No,No
'Persona natural',260.19,0,76.08,1,'Nunca paga',0,1,No,No
'Persona natural',259.8,0,75.98,1,'Nunca paga',1,1,No,No
'Persona natural',259.25,0,75.85,1,'Nunca paga',0,1,No,No
'Persona natural',258.81,74.71,0,0,'Con retraso',0,1,Si,No
'Persona juridica',258.77,0,75.73,1,'Nunca paga',0,0,No,No
'Persona natural',258.61,0,75.69,1,'Nunca paga',1,1,No,No
'Persona natural',257.73,0,75.46,1,'Nunca paga',1,1,No,No
'Persona natural',257.62,0,75.43,1,'Nunca paga',1,1,No,No
'Persona natural',257.41,0,75.38,1,'Nunca paga',1,1,No,No
'Persona natural',257.38,74.35,0,0,'Con retraso',0,1,Si,No
'Persona natural',257.35,0,75.36,1,'Nunca paga',0,1,No,No
'Persona natural',257.34,0,75.36,1,'Nunca paga',1,1,No,No
'Persona natural',257.2,0,75.32,1,'Nunca paga',1,1,No,No
'Persona natural',256.59,0,0,0,'Nunca paga',1,0,No,No
'Persona natural',256.56,0,75.16,1,'Nunca paga',0,1,No,No
'Persona natural',255.78,0,74.97,1,'Nunca paga',0,1,No,No
'Persona natural',255.61,0,74.93,1,'Nunca paga',0,1,No,No
'Persona natural',255.46,0,74.89,1,'Nunca paga',1,1,No,No
'Persona natural',255.32,0,74.84,1,'Nunca paga',0,0,No,No
'Persona natural',255.3,0,74.84,1,'Nunca paga',1,1,No,No
'Persona natural',254.56,0,74.65,1,'Nunca paga',1,1,No,No
'Persona natural',254.5,0,74.64,1,'Nunca paga',0,1,No,No
'Persona natural',254.24,0,74.57,1,'Nunca paga',1,1,No,No
'Persona natural',254.11,0,74.54,1,'Nunca paga',1,1,No,No
'Persona natural',253.25,0,74.33,1,'Nunca paga',0,1,No,No
'Persona natural',253.13,0,74.3,1,'Nunca paga',1,1,No,No
'Persona natural',253.03,0,74.27,1,'Nunca paga',1,1,No,No
'Persona natural',252.98,0,74.26,1,'Nunca paga',1,1,No,No
'Persona natural',252.84,0,74.22,1,'Nunca paga',1,1,No,No
'Persona natural',252.57,73.15,0,0,'Con retraso',0,1,Si,No
'Persona natural',252.49,0,74.13,1,'Nunca paga',1,1,No,No
'Persona natural',251.78,0,73.95,1,'Nunca paga',1,1,No,No
'Persona natural',251.76,0,73.94,1,'Nunca paga',1,1,No,No
'Persona natural',250.77,72.7,0,0,'Con retraso',0,1,Si,No
'Persona natural',250.4,0,73.6,1,'Nunca paga',0,1,No,No
'Persona natural',250.34,0,73.59,1,'Nunca paga',1,1,No,No
'Persona natural',249.92,0,73.47,1,'Nunca paga',1,1,No,No
'Persona natural',248.73,0,73.18,1,'Nunca paga',1,1,No,No
'Persona natural',248.52,0,73.12,1,'Nunca paga',0,1,No,No
'Persona natural',248.19,0,0,0,'Nunca paga',1,0,No,No
'Persona natural',248.13,0,73.03,1,'Nunca paga',1,1,No,No
'Persona natural',247.31,0,72.81,1,'Nunca paga',0,1,No,No
'Persona natural',246.41,0,72.59,1,'Nunca paga',1,1,No,No
'Persona natural',245.83,0,72.44,1,'Nunca paga',1,1,No,No
'Persona natural',245.82,0,72.44,1,'Nunca paga',1,1,No,No
'Persona natural',245.74,0,72.42,1,'Nunca paga',1,1,No,No
'Persona natural',244.94,0,72.21,1,'Nunca paga',1,1,No,No
'Persona natural',244,0,71.97,1,'Nunca paga',1,1,No,No
'Persona natural',243.62,0,71.88,1,'Nunca paga',1,1,No,No
'Persona natural',242.51,0,71.59,1,'Nunca paga',1,1,No,No
'Persona natural',242.21,0,71.52,1,'Nunca paga',1,1,No,No
'Persona natural',241.22,0,71.27,1,'Nunca paga',1,1,No,No
'Persona natural',241.15,70.29,0,0,'Con retraso',0,1,Si,No
'Persona natural',240.51,0,71.09,1,'Nunca paga',1,1,No,No
'Persona natural',240.15,0,70.99,1,'Nunca paga',1,1,No,No
'Persona natural',239.97,0,70.95,1,'Nunca paga',0,1,No,No
'Persona natural',239.93,0,70.94,1,'Nunca paga',0,1,No,No
'Persona natural',239.24,0,70.76,1,'Nunca paga',0,1,No,No
'Persona natural',239.01,0,70.71,1,'Nunca paga',1,1,No,No
'Persona natural',237.98,0,70.45,1,'Nunca paga',1,1,No,No
'Persona natural',237.57,0,70.34,1,'Nunca paga',0.9,1,No,No
'Persona natural',236.65,0,70.11,1,'Nunca paga',0,1,No,No
'Persona natural',236.42,69.11,0,0,'Con retraso',0,1,Si,No
'Persona natural',236.34,0,70.03,1,'Nunca paga',0.9,1,No,No
'Persona natural',236.25,0,70.01,1,'Nunca paga',0.9,1,No,No
'Persona natural',236.03,0,69.95,1,'Nunca paga',0,1,No,No
'Persona natural',235.72,0,69.87,1,'Nunca paga',0.9,1,No,No
'Persona natural',235.66,0,69.86,1,'Nunca paga',0,1,No,No
'Persona natural',235.5,0,69.82,1,'Nunca paga',0,1,No,No
'Persona natural',235.39,0,69.79,1,'Nunca paga',0,1,No,No
'Persona natural',235.23,0,69.75,1,'Nunca paga',0.9,1,No,No
'Persona natural',234.64,0,0,0,'Nunca paga',0.9,0,No,No
'Persona natural',234.01,0,69.44,1,'Nunca paga',0.9,1,No,No
'Persona natural',233.91,0,69.41,1,'Nunca paga',0.9,1,No,No
'Persona natural',232.39,0,69.02,1,'Nunca paga',0,1,No,No
'Persona natural',232.39,68.1,0,0,'Con retraso',0,1,Si,No
'Persona natural',231.62,0,68.83,1,'Nunca paga',0.9,1,No,No
'Persona natural',231.55,0,68.81,1,'Nunca paga',0.9,1,No,No
'Persona natural',231.07,0,68.69,1,'Nunca paga',0.9,1,No,No
'Persona natural',230.97,0,68.67,1,'Nunca paga',0.9,1,No,No
'Persona natural',229.75,0,68.35,1,'Nunca paga',0,1,No,No
'Persona natural',229.17,0,68.21,1,'Nunca paga',0.9,1,No,No
'Persona natural',228.68,0,68.08,1,'Nunca paga',0,1,No,No
'Persona natural',228.24,0,67.97,1,'Nunca paga',0.9,1,No,No
'Persona natural',228.07,0,67.93,1,'Nunca paga',0.9,1,No,No
'Persona natural',227.93,0,67.9,1,'Nunca paga',0,1,No,No
'Persona natural',227.63,0,0,0,'Nunca paga',0.9,0,No,No
'Persona natural',227.34,0,67.74,1,'Nunca paga',0.9,1,No,No
'Persona natural',227.32,0,67.73,1,'Nunca paga',0,1,No,No
'Persona natural',227.2,0,67.7,1,'Nunca paga',0,1,No,No
'Persona natural',225.44,0,67.26,1,'Nunca paga',0.9,1,No,No
'Persona natural',225.32,0,67.23,1,'Nunca paga',0,1,No,No
'Persona natural',224.69,0,67.07,1,'Nunca paga',0,1,No,No
'Persona natural',224.08,0,66.91,1,'Nunca paga',0,1,No,No
'Persona natural',223.55,0,0,0,'Nunca paga',0.9,0,No,No
'Persona natural',223.39,0,66.74,1,'Nunca paga',0,1,No,No
'Persona natural',223.18,0,66.69,1,'Nunca paga',0.9,1,No,No
'Persona natural',222.12,0,66.41,1,'Nunca paga',0.9,1,No,No
'Persona natural',221.7,0,66.31,1,'Nunca paga',0.9,1,No,No
'Persona natural',221.61,0,66.29,1,'Nunca paga',0,1,No,No
'Persona natural',221.4,0,66.23,1,'Nunca paga',0,1,No,No
'Persona natural',220.88,0,66.1,1,'Nunca paga',0.9,1,No,No
'Persona natural',220.69,0,66.06,1,'Nunca paga',0,1,No,No
'Persona natural',220.5,0,66.01,1,'Nunca paga',0,1,No,No
'Persona natural',219.86,64.97,0,0,'Con retraso',0,1,Si,No
'Persona natural',219.5,0,65.75,1,'Nunca paga',0,1,No,No
'Persona natural',219.25,0,65.69,1,'Nunca paga',0.9,1,No,No
'Persona natural',218.08,0,65.39,1,'Nunca paga',0.9,1,No,No
'Persona natural',218.02,0,65.38,1,'Nunca paga',0.9,1,No,No
'Persona natural',217.09,0,65.14,1,'Nunca paga',0,1,No,No
'Persona natural',216.97,0,65.11,1,'Nunca paga',0.9,1,No,No
'Persona natural',216.94,0,65.1,1,'Nunca paga',0,1,No,No
'Persona natural',216.14,0,64.9,1,'Nunca paga',0.9,1,No,No
'Persona natural',216.08,0,64.88,1,'Nunca paga',0,1,No,No
'Persona natural',215.98,0,0,0,'Nunca paga',0.9,0,No,No
'Persona natural',215.96,0,64.85,1,'Nunca paga',0.9,1,No,No
'Persona natural',215.72,0,64.79,1,'Nunca paga',0.9,1,No,No
'Persona natural',215.61,0,64.77,1,'Nunca paga',0.9,1,No,No
'Persona natural',215.39,0,64.71,1,'Nunca paga',0.9,1,No,No
'Persona natural',214.45,0,64.47,1,'Nunca paga',0,1,No,No
'Persona natural',213.78,0,64.3,1,'Nunca paga',0,1,No,No
'Persona natural',213.3,0,64.18,1,'Nunca paga',0,1,No,No
'Persona natural',212.85,0,64.07,1,'Nunca paga',0.8,1,No,No
'Persona natural',212.63,63.16,0,0,'Con retraso',0,1,Si,No
'Persona natural',212.03,0,63.85,1,'Nunca paga',0.8,1,No,No
'Persona natural',211.83,0,63.8,1,'Nunca paga',0.8,1,No,No
'Persona natural',211.7,0,63.77,1,'Nunca paga',0,0,No,No
'Persona natural',211.68,0,63.76,1,'Nunca paga',0.8,1,No,No
'Persona natural',211.36,0,63.68,1,'Nunca paga',0.8,1,No,No
'Persona natural',211.29,0,63.67,1,'Nunca paga',0.8,1,No,No
'Persona natural',211.02,0,63.6,1,'Nunca paga',0.8,1,No,No
'Persona natural',210.67,0,63.51,1,'Nunca paga',0.8,1,No,No
'Persona natural',210.43,0,63.45,1,'Nunca paga',0,0,No,No
'Persona natural',210.39,0,63.44,1,'Nunca paga',0.8,1,No,No
'Persona natural',209.85,0,63.3,1,'Nunca paga',0,0,No,No
'Persona natural',209.77,0,63.28,1,'Nunca paga',0.8,1,No,No
'Persona natural',209.72,0,63.26,1,'Nunca paga',0,0,No,No
'Persona natural',209.23,0,63.14,1,'Nunca paga',0.8,1,No,No
'Persona natural',208.92,0,63.06,1,'Nunca paga',0.8,1,No,No
'Persona natural',208.36,0,62.92,1,'Nunca paga',0.8,1,No,No
'Persona natural',208.33,0,62.92,1,'Nunca paga',0,1,No,No
'Persona natural',208.28,0,62.9,1,'Nunca paga',0,1,No,No
'Persona natural',208.03,62.01,0,0,'Con retraso',0,1,Si,No
'Persona natural',207.68,0,62.75,1,'Nunca paga',0.8,1,No,No
'Persona natural',207.62,0,62.74,1,'Nunca paga',0.8,1,No,No
'Persona natural',207.48,61.87,0,0,'Con retraso',0,1,Si,No
'Persona natural',206.76,61.69,0,0,'Con retraso',0,1,Si,No
'Persona natural',206.05,0,62.34,1,'Nunca paga',0.8,1,No,No
'Persona natural',205.98,0,62.32,1,'Nunca paga',0.8,1,No,No
'Persona natural',205.71,0,62.25,1,'Nunca paga',0.8,1,No,No
'Persona natural',205.59,0,62.22,1,'Nunca paga',0.8,1,No,No
'Persona natural',205.37,0,62.17,1,'Nunca paga',0,1,No,No
'Persona natural',204.93,0,62.05,1,'Nunca paga',0.8,1,No,No
'Persona natural',204.74,0,62,1,'Nunca paga',0,1,No,No
'Persona natural',204.66,0,61.98,1,'Nunca paga',0.8,1,No,No
'Persona natural',204.32,0,61.89,1,'Nunca paga',0.8,1,No,No
'Persona natural',204.04,0,61.82,1,'Nunca paga',0.8,1,No,No
'Persona natural',203.6,0,0,0,'Nunca paga',0.8,0,No,No
'Persona natural',203.54,60.89,0,0,'Con retraso',0,1,Si,No
'Persona natural',202.77,0,61.51,1,'Nunca paga',0,1,No,No
'Persona natural',202.31,0,61.38,1,'Nunca paga',0.8,1,No,No
'Persona natural',201.79,0,61.25,1,'Nunca paga',0,1,No,No
'Persona natural',201.45,0,61.17,1,'Nunca paga',0.8,1,No,No
'Persona natural',201.34,0,61.14,1,'Nunca paga',0,1,No,No
'Persona natural',200.22,0,60.86,1,'Nunca paga',0.8,1,No,No
'Persona natural',199.95,0,60.78,1,'Nunca paga',0.8,1,No,No
'Persona natural',199.46,0,60.66,1,'Nunca paga',0.8,1,No,No
'Persona natural',199.34,0,60.63,1,'Nunca paga',0.8,1,No,No
'Persona natural',198.93,0,60.53,1,'Nunca paga',0.8,1,No,No
'Persona natural',198.43,0,60.4,1,'Nunca paga',0.8,1,No,No
'Persona natural',198.37,0,60.39,1,'Nunca paga',0,1,No,No
'Persona natural',198.29,0,60.37,1,'Nunca paga',0.8,1,No,No
'Persona natural',197.5,0,60.17,1,'Nunca paga',0.8,1,No,No
'Persona natural',197.36,0,60.12,1,'Nunca paga',0,1,No,No
'Persona natural',197.28,0,60.1,1,'Nunca paga',0,1,No,No
'Persona natural',197.23,0,60.09,1,'Nunca paga',0,1,No,No
'Persona natural',197.07,0,60.05,1,'Nunca paga',0,1,No,No
'Persona natural',196.84,0,59.99,1,'Nunca paga',0.8,1,No,No
'Persona natural',196.31,0,59.86,1,'Nunca paga',0.8,1,No,No
'Persona natural',196.13,0,0,0,'Nunca paga',0.8,0,No,No
'Persona natural',196.11,0,59.81,1,'Nunca paga',0.8,1,No,No
'Persona natural',195.74,58.94,0,0,'Con retraso',0,1,Si,No
'Persona natural',195.41,0,59.64,1,'Nunca paga',0.8,1,No,No
'Persona natural',195.14,0,59.57,1,'Nunca paga',0,1,No,No
'Persona natural',195.04,0,59.54,1,'Nunca paga',0.8,1,No,No
'Persona natural',194.89,0,59.5,1,'Nunca paga',0.8,1,No,No
'Persona natural',192.86,0,58.99,1,'Nunca paga',0.8,1,No,No
'Persona natural',192.83,0,58.98,1,'Nunca paga',0,1,No,No
'Persona natural',192.44,0,58.87,1,'Nunca paga',0.8,1,No,No
'Persona natural',192.3,0,58.84,1,'Nunca paga',0.8,1,No,No
'Persona natural',191.57,0,58.66,1,'Nunca paga',0.8,1,No,No
'Persona natural',191.11,0,58.54,1,'Nunca paga',0.8,1,No,No
'Persona natural',190.6,0,48.41,1,'Nunca paga',0.8,0,No,No
'Persona natural',190.05,0,58.28,1,'Nunca paga',0.8,1,No,No
'Persona natural',189.93,0,58.25,1,'Nunca paga',0.8,1,No,No
'Persona natural',189.52,0,58.13,1,'Nunca paga',0.8,1,No,No
'Persona natural',188.07,57.02,0,0,'Con retraso',0,1,Si,No
'Persona natural',188.07,0,57.77,1,'Nunca paga',0.8,1,No,No
'Persona natural',187.25,0,57.56,1,'Nunca paga',0.7,1,No,No
'Persona natural',187.19,0,57.54,1,'Nunca paga',0,1,No,No
'Persona natural',186.6,56.65,0,0,'Con retraso',0,1,Si,No
'Persona natural',185.75,0,57.18,1,'Nunca paga',0,1,No,No
'Persona natural',185.44,0,0,0,'Nunca paga',0.7,0,No,No
'Persona natural',184.92,0,56.97,1,'Nunca paga',0.7,1,No,No
'Persona natural',184.2,0,56.78,1,'Nunca paga',0.7,1,No,No
'Persona natural',184.02,56.01,0,0,'Con retraso',0,1,Si,No
'Persona natural',182.98,0,56.48,1,'Nunca paga',0.7,1,No,No
'Persona natural',182.36,0,56.31,1,'Nunca paga',0,1,No,No
'Persona natural',182.28,0,56.29,1,'Nunca paga',0.7,1,No,No
'Persona natural',181.9,0,56.2,1,'Nunca paga',0.7,1,No,No
'Persona natural',181.55,0,56.11,1,'Nunca paga',0.7,1,No,No
'Persona natural',180.49,0,55.85,1,'Nunca paga',0,1,No,No
'Persona natural',180.09,0,55.75,1,'Nunca paga',0.7,1,No,No
'Persona natural',178.96,0,55.45,1,'Nunca paga',0.7,1,No,No
'Persona natural',178.89,0,55.44,1,'Nunca paga',0,1,No,No
'Persona natural',178.6,0,55.36,1,'Nunca paga',0.7,1,No,No
'Persona natural',178.31,54.58,0,0,'Con retraso',0,1,Si,No
'Persona natural',178.06,0,55.23,1,'Nunca paga',0,1,No,No
'Persona natural',177.96,0,0,0,'Nunca paga',0.7,0,No,No
'Persona natural',177.32,0,55.03,1,'Nunca paga',0.7,1,No,No
'Persona natural',177.21,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',177.03,0,54.96,1,'Nunca paga',0.7,1,No,No
'Persona juridica',177.01,0,54.96,1,'Nunca paga',0,0,No,No
'Persona natural',176.75,0,54.89,1,'Nunca paga',0.7,1,No,No
'Persona natural',176.45,0,54.82,1,'Nunca paga',0.7,1,No,No
'Persona natural',176.32,0,54.78,1,'Nunca paga',0.7,1,No,No
'Persona juridica',175.47,0,54.57,1,'Nunca paga',0,0,No,No
'Persona natural',175.33,0,54.54,1,'Nunca paga',0.7,1,No,No
'Persona natural',175.31,0,54.53,1,'Nunca paga',0.7,1,No,No
'Persona natural',174.73,53.69,0,0,'Con retraso',0,1,Si,No
'Persona natural',174.43,53.61,0,0,'Con retraso',0,1,Si,No
'Persona natural',174.42,0,54.3,1,'Nunca paga',0,1,No,No
'Persona natural',173.77,0,54.14,1,'Nunca paga',0.7,1,No,No
'Persona natural',173.42,0,54.05,1,'Nunca paga',0.7,1,No,No
'Persona natural',173.28,53.32,0,0,'Con retraso',0,1,Si,No
'Persona natural',172.86,0,53.91,1,'Nunca paga',0.7,1,No,No
'Persona natural',172.79,0,53.89,1,'Nunca paga',0.7,1,No,No
'Persona natural',170.82,0,53.39,1,'Nunca paga',0.7,1,No,No
'Persona natural',170.81,0,53.39,1,'Nunca paga',0.7,1,No,No
'Persona natural',170.76,0,53.37,1,'Nunca paga',0.7,1,No,No
'Persona natural',170.52,0,53.31,1,'Nunca paga',0.7,1,No,No
'Persona natural',170.48,52.62,0,0,'Con retraso',0,1,Si,No
'Persona natural',169.74,0,43.11,1,'Nunca paga',0,0,No,No
'Persona natural',169.71,0,53.1,1,'Nunca paga',0.7,1,No,No
'Persona natural',168.62,52.16,0,0,'Con retraso',0,1,Si,No
'Persona natural',168.59,52.15,0,0,'Con retraso',0,1,Si,No
'Persona natural',168.55,0,52.81,1,'Nunca paga',0,0,No,No
'Persona natural',168.47,0,52.79,1,'Nunca paga',0.7,1,No,No
'Persona natural',167.33,0,52.51,1,'Nunca paga',0.7,1,No,No
'Persona natural',166.65,0,52.33,1,'Nunca paga',0.7,1,No,No
'Persona natural',166.45,0,52.28,1,'Nunca paga',0,1,No,No
'Persona natural',166.27,0,52.23,1,'Nunca paga',0,1,No,No
'Persona natural',165.86,51.47,0,0,'Con retraso',0,1,Si,No
'Persona natural',165.34,0,52,1,'Nunca paga',0.7,1,No,No
'Persona natural',165.05,0,51.93,1,'Nunca paga',0.7,1,No,No
'Persona natural',164.93,0,0,0,'Nunca paga',0.7,0,No,No
'Persona natural',164.89,0,51.89,1,'Nunca paga',0.7,1,No,No
'Persona natural',164.77,0,51.86,1,'Nunca paga',0.7,1,No,No
'Persona natural',164.5,51.13,0,0,'Con retraso',0,1,Si,No
'Persona natural',164.48,0,51.77,1,'Nunca paga',0.6,1,No,No
'Persona natural',164.39,0,51.75,1,'Nunca paga',0.6,1,No,No
'Persona natural',164.38,0,51.75,1,'Nunca paga',0.6,1,No,No
'Persona natural',164.22,0,51.71,1,'Nunca paga',0.6,1,No,No
'Persona natural',164.09,0,51.68,1,'Nunca paga',0.6,1,No,No
'Persona natural',164.05,0,51.67,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.9,0,51.63,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.69,0,51.58,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.54,0,51.54,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.46,0,51.52,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.44,0,51.51,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.42,0,51.51,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.41,0,51.51,1,'Nunca paga',0,1,No,No
'Persona natural',163.3,0,51.48,1,'Nunca paga',0.6,1,No,No
'Persona natural',163.24,0,51.46,1,'Nunca paga',0,1,No,No
'Persona natural',162.92,0,51.38,1,'Nunca paga',0,1,No,No
'Persona natural',162.83,50.71,0,0,'Con retraso',0,1,Si,No
'Persona natural',162.8,0,51.35,1,'Nunca paga',0.6,1,No,No
'Persona natural',162.64,0,51.31,1,'Nunca paga',0,1,No,No
'Persona natural',162.5,0,51.28,1,'Nunca paga',0,1,No,No
'Persona natural',162.31,0,51.23,1,'Nunca paga',0.6,1,No,No
'Persona juridica',162.19,0,51.19,1,'Nunca paga',0,0,No,No
'Persona natural',162.14,0,51.18,1,'Nunca paga',0.6,1,No,No
